,oficialista,opositor
agredía,1,0
agrega,2,6
agregaba,1,0
agregado,2,2
agregan,0,1
agregando,1,0
agregar,2,3
agregaría,2,1
agrego,1,1
agregué,1,0
agregó,26,12
agremiados,1,0
agresiva,4,4
agresivas,1,0
agresividad,1,0
agresión,4,1
agrest,0,2
agricultores,0,1
agricultura,0,5
agridulce,0,1
agrieta,4,0
agrietado,1,0
agro,1,3
agroexportador,1,0
agronegocios,1,0
agropecuarias,0,2
agropecuario,0,6
agrupaciones,10,1
agrupación,7,3
agrupe,1,0
agrícola,0,1
agrícolas,0,1
agua,19,6
aguanta,5,0
aguantan,1,0
aguantando,1,0
aguantar,4,0
aguantarse,1,0
aguantaste,1,0
aguanté,2,0
aguantó,1,0
aguarda,0,1
aguas,1,2
aguda,1,0
agudo,1,0
aguiar,1,0
aguijoneaba,1,0
aguinaldo,2,9
aguinaldos,0,1
aguinis,1,0
agujero,0,3
agustín,2,1
aguántensela,1,0
agüero,1,0
ah,11,0
ahi,1,0
ahoga,1,0
ahogados,1,0
ahogarla,2,0
ahogo,0,1
ahoira,1,0
ahonda,1,0
ahondado,1,0
ahondó,0,1
ahora,173,131
ahorfa,1,0
ahorra,1,0
ahorraban,1,1
ahorrado,1,0
ahorran,1,0
ahorrando,1,0
ahorrar,1,0
ahorristas,0,1
ahorro,1,0
ahorros,4,1
ahorrábamos,1,0
ahorró,1,0
ahota,1,0
ahí,158,27
aignasse,0,1
aire,16,13
aireado,1,0
aires,55,82
airlines,0,1
airoso,1,0
airosos,1,0
aislada,1,2
aisladas,0,2
aislado,0,2
aislamiento,2,5
aislar,2,0
aislarlos,0,1
ajadas,2,0
ajado,1,0
ajena,0,2
ajenas,4,1
ajeno,1,4
ajenos,1,2
ajusta,0,1
ajustado,1,0
ajustados,1,0
ajustar,2,1
ajuste,7,16
ajustes,0,5
ajá,2,0
ala,1,3
alak,0,1
alambre,1,0
alardea,0,1
alardeaban,1,0
alardear,1,0
alargar,0,1
alarma,1,2
alarmante,3,0
alas,0,1
alasino,3,0
alba,2,1
albedrío,1,0
alberga,2,0
albergados,1,0
albergue,1,0
albert,0,1
alberto,14,11
albores,1,0
alborotan,1,0
alborozan,1,0
albóndigas,2,0
alca,5,0
alcahuete,1,0
alcance,2,4
alcances,0,1
alcanza,7,7
alcanzaba,6,1
alcanzado,2,0
alcanzados,1,0
alcanzan,1,2
alcanzar,0,3
alcanzara,0,1
alcanzarlo,2,0
alcanzaron,1,0
alcanzará,0,3
alcanzo,1,0
alcanzó,1,3
alcohol,0,5
alcorta,2,0
alcurnia,0,2
alcón,1,0
aldo,2,1
alegando,0,1
alegato,1,0
alegoría,0,1
alegra,3,0
alegrado,0,1
alegrar,2,0
alegraría,1,0
alegre,0,2
alegro,0,3
alegrémonos,1,0
alegría,15,1
aleja,1,0
alejaban,1,0
alejada,5,0
alejado,3,0
alejamiento,0,2
alejan,2,0
alejando,1,0
alejandra,0,8
alejandro,1,8
alejar,2,0
alejarnos,1,1
alejaron,2,0
alejarse,3,2
aleje,1,1
aleman,1,0
alemana,8,0
alemanes,2,0
alemania,4,8
alemán,5,0
alende,1,0
alentada,1,0
alentado,1,0
alentados,1,0
alentamos,1,0
alentando,0,1
alentar,1,2
alentó,1,1
alergia,1,0
aleros,2,0
alerta,1,5
alertan,1,0
alertarlo,0,1
alertas,0,1
alertó,1,0
alessio,0,1
aletas,1,0
aletea,1,0
aletto,1,0
alevosamente,1,0
alex,0,1
alfabetización,2,0
alfajores,1,0
alfaro,1,0
alfiles,1,0
alfombra,4,3
alfonso,0,5
alfonsín,20,12
alfredo,5,6
algazara,2,0
alguien,72,37
algun,2,2
alguna,44,30
alguno,14,13
algún,36,37
aliado,1,3
aliados,3,3
aliancista,1,0
alianza,10,8
alianzas,4,8
alias,2,0
alicia,65,6
alienación,1,1
alienante,1,0
alientan,0,2
alimentado,2,0
alimentan,0,2
alimentar,3,2
alimentarias,0,2
alimentarios,1,0
alimentaron,1,0
alimente,1,0
alimenticias,1,0
alimento,2,3
alimentos,1,11
alinea,1,0
alineado,1,1
alineamiento,2,0
alineándose,1,0
alitalia,1,0
aliverti,1,0
aliviado,0,1
aliviados,2,0
alivianar,1,0
aliviar,2,1
alivio,3,4
all,0,1
allan,1,0
allana,0,2
allanada,1,0
allanado,0,1
allanamiento,4,7
allanamientos,3,1
allanar,0,4
allanó,0,1
allegados,0,2
allen,1,1
allende,5,0
alli,2,0
allá,35,30
allí,76,30
alma,6,0
almaceneros,1,0
almacén,1,0
almanaque,2,1
almas,4,0
almendra,1,0
almirante,2,1
almohada,2,0
almorazaron,0,1
almorzado,1,0
almorzar,1,0
almuerza,2,0
almuerzo,5,1
almuerzos,3,0
alocado,1,0
alocución,1,1
alojado,1,1
alojaran,1,0
alojó,1,0
alonso,1,0
alos,2,0
alquila,0,1
